,name,rating,rating_count,industry,reviews,salaries,interviews,jobs,benefits,photos
0,TCS,3.3,(1.1L),IT Services & Consulting | Bengaluru +439 other locations,1.1L,9.9L,11.9k,3.4k,10.6k,93
1,Accenture,3.7,(72.2k),IT Services & Consulting | Bengaluru +255 other locations,72.2k,6.5L,9.2k,33.2k,6.7k,49
2,Wipro,3.6,(64.2k),IT Services & Consulting | Hyderabad +371 other locations,64.2k,4.8L,6.7k,2.1k,4.6k,107
3,Cognizant,3.6,(60.5k),IT Services & Consulting | Hyderabad +232 other locations,60.5k,6L,6.4k,517,5.5k,86
4,Capgemini,3.7,(52.1k),IT Services & Consulting | Bengaluru +182 other locations,52.1k,4.8L,5.5k,2.7k,3.7k,42
5,HDFC Bank,3.8,(51.3k),Banking | Mumbai +1837 other locations,51.3k,1.5L,3k,381,3.2k,86
6,Infosys,3.5,(47.9k),IT Services & Consulting | Bengaluru +248 other locations,47.9k,5.2L,8.4k,2.6k,4.8k,118
7,ICICI Bank,3.9,(45.3k),Banking | Mumbai +1440 other locations,45.3k,1.5L,2.9k,16,3.7k,73
8,HCLTech,3.4,(45.1k),IT Services & Consulting | Chennai +231 other locations,45.1k,3.8L,4.5k,283,3.8k,65
9,Tech Mahindra,3.4,(42.8k),IT Services & Consulting | Hyderabad +330 other locations,42.8k,2.8L,4.5k,670,3.4k,79
10,Genpact,3.6,(41.4k),Analytics & KPO | Hyderabad +181 other locations,41.4k,2.3L,3.8k,1k,3.5k,66
11,Teleperformance,3.8,(37.3k),BPO | Mumbai +255 other locations,37.3k,96.8k,2.2k,2.1k,1.8k,38
12,Jio,4.4,(33.4k),Telecom | Mumbai +1967 other locations,33.4k,62.2k,4.3k,1,2.5k,87
13,Axis Bank,3.6,(32.6k),Banking | Mumbai +1510 other locations,32.6k,1L,1.9k,209,2.1k,120
14,Concentrix Corporation,3.6,(31.7k),BPO | Bengaluru +178 other locations,31.7k,1.3L,2k,74,3.1k,66
15,Amazon,3.9,(31k),Internet | Bengaluru +521 other locations,31k,1.5L,5.9k,1.9k,3.6k,90
16,iEnergizer,4.6,(27.3k),BPO | Noida +52 other locations,27.3k,24.3k,1.3k,99,430,29
17,Reliance Retail,3.9,(27.2k),Retail | Mumbai +1157 other locations,27.2k,76.6k,1.9k,147,1.8k,137
18,LTIMindtree,3.6,(26.1k),IT Services & Consulting | Bengaluru +145 other locations,26.1k,1.9L,3.4k,477,777,34
19,IBM,3.9,(25.5k),IT Services & Consulting | Bengaluru +161 other locations,25.5k,2.1L,2.6k,2.4k,2.6k,23
20,HDB Financial Services,3.9,(25.3k),NBFC | Mumbai +1092 other locations,25.3k,49.9k,1.1k,2k,1.5k,73
21,Larsen & Toubro Limited,3.9,(23.5k),Engineering & Construction | Chennai +761 other locations,23.5k,75.1k,1.8k,128,2.5k,65
22,Deloitte,3.7,(22.7k),Management Consulting | Hyderabad +188 other locations,22.7k,2.5L,3.3k,1.4k,2.4k,25
23,Kotak Mahindra Bank,3.6,(22.1k),Banking | Mumbai +688 other locations,22.1k,87.1k,1.4k,170,1.3k,43
24,Reliance Industries,4.0,(20k),Oil & Gas | Jamnagar +816 other locations,20k,72.8k,1.6k,106,1.8k,38
25,Vodafone Idea,3.9,(17.5k),Telecom | Pune +705 other locations,17.5k,49.8k,678,41,2k,22
26,Bharti Airtel,3.8,(17k),Telecom | Gurugram +795 other locations,17k,49.6k,1.1k,183,1.6k,101
27,BYJU'S,3.2,(16.4k),EdTech | Bengaluru +322 other locations,16.4k,53.3k,2.1k,1,1.7k,28
28,WNS,3.3,(15k),IT Services & Consulting | Pune +66 other locations,15k,70.4k,1.2k,84,1.3k,24
29,IDFC FIRST Bank,3.9,(14.3k),Banking | Mumbai +717 other locations,14.3k,49.6k,943,42,692,96
30,Ernst & Young,3.4,(14.2k),Management Consulting | Bengaluru +132 other locations,14.2k,1.4L,1.3k,3.1k,1.1k,10
31,Tata Motors,4.1,(14.1k),Automobile | Pune +508 other locations,14.1k,42.9k,1.3k,157,1.6k,43
32,IndusInd Bank,3.4,(14k),Banking | Mumbai +795 other locations,14k,51.5k,764,88,796,16
33,AU Small Finance Bank,3.9,(14k),Banking | Jaipur +792 other locations,14k,29.3k,689,219,578,27
34,Muthoot FinCorp,4.6,(13k),NBFC | Bengaluru +1118 other locations,13k,9.2k,2.4k,7,275,103
35,Bajaj Finserv,4.0,(12.8k),NBFC | Pune +1178 other locations,12.8k,30.8k,733,5,707,16
36,Flipkart,3.9,(12.8k),Internet | Bengaluru +558 other locations,12.8k,54.9k,1.6k,146,1.4k,103
37,PwC,3.3,(12.3k),Management Consulting | Bengaluru +133 other locations,12.3k,1.2L,1.6k,1.1k,800,24
38,Mahindra & Mahindra,4.0,(11.9k),Automobile | Pune +565 other locations,11.9k,40.2k,848,2,1.2k,19
39,Infosys BPM,3.5,(11.9k),BPO | Bengaluru +96 other locations,11.9k,74.3k,1.1k,83,1.1k,8
40,HDFC Life,3.9,(11.8k),Insurance | Mumbai +706 other locations,11.8k,33k,790,99,613,55
41,DXC Technology,3.6,(11.8k),IT Services & Consulting | Bengaluru +133 other locations,11.8k,72.1k,895,218,1.1k,9
42,Bandhan Bank,3.7,(10.9k),Banking | Kolkata +999 other locations,10.9k,24.6k,748,56,517,43
